username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city,query,date_range
spoonzoo,heatherkestila,This parade of teachers driving through their kids' neighborhoods... it's what you need to watch today. #SaturdayMotivation #QuaratineLife #SocialDistancing #covid19 #teachersareheroes #elearning @Robertson_Elem @heatherkestila #Deacon,0,2,1,1241510904291823619,https://twitter.com/spoonzoo/status/1241510904291823619,16911094,2020-03-21 23:44:00+00:00,Sat Mar 21 23:44:00 +0000 2020,#SaturdayMotivation #QuaratineLife #SocialDistancing #covid19 #teachersareheroes #elearning #Deacon,@Robertson_Elem @heatherkestila,,https://twitter.com/heatherkestila/status/1241077860829462530,springfield,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
GrandeReed,,"#home #covid #quarantine #dog #kid #family #flattenthecurve @Springfield, Illinois https://www.instagram.com/p/B-AgnOJlKKR/?igshid=at2jhyoyidx",0,0,0,1241451438187991043,https://twitter.com/GrandeReed/status/1241451438187991043,22547481,2020-03-21 19:47:42+00:00,Sat Mar 21 19:47:42 +0000 2020,#home #covid #quarantine #dog #kid #family #flattenthecurve,,,https://www.instagram.com/p/B-AgnOJlKKR/?igshid=at2jhyoyidx,springfield,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
BSchuermanWX,thehill,#DEVELOPING: Andy Cohen tests positive for the #Coronavirus #COVID19... ,1,0,0,1241402307893440512,https://twitter.com/BSchuermanWX/status/1241402307893440512,18501529,2020-03-21 16:32:28+00:00,Sat Mar 21 16:32:28 +0000 2020,#DEVELOPING #Coronavirus #COVID19,,,https://twitter.com/thehill/status/1241304807865892865,springfield,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
GrandeReed,,"Well this is disappointing #covid #shutitdown #grocery @Springfield, Illinois https://www.instagram.com/p/B-AH5obFPYW/?igshid=15cmtbqwnjuqu",0,0,0,1241397098022678531,https://twitter.com/GrandeReed/status/1241397098022678531,22547481,2020-03-21 16:11:46+00:00,Sat Mar 21 16:11:46 +0000 2020,#covid #shutitdown #grocery,,,https://www.instagram.com/p/B-AH5obFPYW/?igshid=15cmtbqwnjuqu,springfield,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
gdmckav,,Thanks @CBSSports @CBS for replaying classic @NCAA @marchmadness games while under #Covid_19 shelter-in-place in #Illinois,0,1,0,1241395741643415552,https://twitter.com/gdmckav/status/1241395741643415552,50190934,2020-03-21 16:06:23+00:00,Sat Mar 21 16:06:23 +0000 2020,#Covid_19 #Illinois,@CBSSports @CBS @NCAA @marchmadness,,,springfield,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
Hermano_Bart,jonyarroyo,Culpables. #AlBanquillo #Covid_19 #GobiernoAsesino #GobiernoCriminal #GobiernoNegligente,0,0,0,1241312763294728192,https://twitter.com/Hermano_Bart/status/1241312763294728192,338525189,2020-03-21 10:36:39+00:00,Sat Mar 21 10:36:39 +0000 2020,#AlBanquillo #Covid_19 #GobiernoAsesino #GobiernoCriminal #GobiernoNegligente,,,https://twitter.com/jonyarroyo/status/1241068716600840192,springfield,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
spoonzoo,,"A message from our mayor @Springfield_IL @Langfelder2015 concerning the #COVID19 #ShelterInPlace order by @GovPritzker. I really wish this 3 min video was on TV where more of our community would see it, but, I appreciate the effort. Thanks Jim",0,0,0,1241287963125972994,https://twitter.com/spoonzoo/status/1241287963125972994,16911094,2020-03-21 08:58:07+00:00,Sat Mar 21 08:58:07 +0000 2020,#COVID19 #ShelterInPlace,@Springfield_IL @Langfelder2015 @GovPritzker,,https://youtu.be/QWQkZ2H5jU4,springfield,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
spoonzoo,,"#WhereIsOurMayor? @Springfield_IL Not a word from @Langfelder2015 Jim Langfelder since his quote about going out for St. Patrick's Day against the advice of @GovPritzker. Now our schools have been closed a week, we're on #ShelterInPlace and NO WORD FROM OUR LEADER! #COVID19 #217",0,0,1,1241131515947483136,https://twitter.com/spoonzoo/status/1241131515947483136,16911094,2020-03-20 22:36:27+00:00,Fri Mar 20 22:36:27 +0000 2020,#WhereIsOurMayor #ShelterInPlace #COVID19,@Springfield_IL @Langfelder2015 @GovPritzker,,,springfield,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
AmandaLPaige,BuzzFeedNews,Not impressed when I can’t get a Covid year and sick for five days now. Tone deaf celebs.,0,3,0,1241113021033955329,https://twitter.com/AmandaLPaige/status/1241113021033955329,319876645,2020-03-20 21:22:57+00:00,Fri Mar 20 21:22:57 +0000 2020,,,,,springfield,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
spoonzoo,,"Thank you, @JBPritzker. It's a weird, heartbreaking, fucked-up world we are living in right now, but #ShelterInPlace has to be done for our survival. Please #StayHome. #SocialDistancing #COVID19 #CoronaVirusUpdate",0,2,1,1241098714413969409,https://twitter.com/spoonzoo/status/1241098714413969409,16911094,2020-03-20 20:26:06+00:00,Fri Mar 20 20:26:06 +0000 2020,#ShelterInPlace #StayHome #StayHome #SocialDistancing #COVID19 #CoronaVirusUpdate,@JBPritzker,,,springfield,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
