username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city
djfenixchicago,,Another 30! #socialdistancing #coronavirus #covid19,0,0,0,1244414009736118277,https://twitter.com/djfenixchicago/status/1244414009736118277,32232449,2020-03-29 23:59:54+00:00,Sun Mar 29 23:59:54 +0000 2020,#socialdistancing #coronavirus #covid19,,,,chicago
majorajay,,"Been taking some time to practice the ol' piano as a reprieve. The piece is 'Un Sospiro' (A Sigh) by Franz Liszt -- a little rusty, but you get the idea. #quarantinelife #COVID19 #covidstories #piano",3,12,1,1244411429828145152,https://twitter.com/majorajay/status/1244411429828145152,409755591,2020-03-29 23:49:39+00:00,Sun Mar 29 23:49:39 +0000 2020,#quarantinelife #COVID19 #covidstories #piano,,,,chicago
SarloMarilyn,,@DZederman @CarmenDeFalco @thekapman @jurko64. Singer John Prine was hospitalized Thursday with complications from Covid19 His parents put out a brief statement He was crtitcal He had been suffering from other stuff too. Proviso East grad. Needs prayers thanks,0,0,0,1244411412224540672,https://twitter.com/SarloMarilyn/status/1244411412224540672,155925154,2020-03-29 23:49:35+00:00,Sun Mar 29 23:49:35 +0000 2020,,@DZederman @CarmenDeFalco @thekapman @Jurko64,,,chicago
KeithHarris312,,My 2and #COVID19 Test came back negative. I get to go home tomorrow after my yearly stress test. ,0,2,0,1244410138506690568,https://twitter.com/KeithHarris312/status/1244410138506690568,155125445,2020-03-29 23:44:31+00:00,Sun Mar 29 23:44:31 +0000 2020,#COVID19,,,,chicago
SallyAncheva,,"We should be wary of praising China’s response to #covid19: “Their triumphant narrative obscures the early failures in reporting cases, squandered time that could have been used to slow infections in China before they exploded into a pandemic.” ",0,1,0,1244409926543433731,https://twitter.com/SallyAncheva/status/1244409926543433731,1010894789838065665,2020-03-29 23:43:41+00:00,Sun Mar 29 23:43:41 +0000 2020,#covid19,,,https://www.nytimes.com/2020/03/29/world/asia/coronavirus-china.html?referringSource=articleShare,chicago
_brianalorrayne,,#CoronaUpdate #Covid_19 #CoronaLockdown #COVID19 #coronavirus #StayAtHomeAndStaySafe,0,0,0,1244407096592007171,https://twitter.com/_brianalorrayne/status/1244407096592007171,2185322666,2020-03-29 23:32:26+00:00,Sun Mar 29 23:32:26 +0000 2020,#CoronaUpdate #Covid_19 #CoronaLockdown #COVID19 #coronavirus #StayAtHomeAndStaySafe,,,,chicago
LamontJRobinson,,Learn how you can volunteer to help our community during the COVID-19 Response: https://bit.ly/2WTPFuK.,0,0,0,1244405095250477058,https://twitter.com/LamontJRobinson/status/1244405095250477058,979812375053430784,2020-03-29 23:24:29+00:00,Sun Mar 29 23:24:29 +0000 2020,,,,https://bit.ly/2WTPFuK,chicago
erikselz,,"music has always defined a time & place for me, so I would lean toward contextualizing any new release b/o WHEN it entered the cultural gestalt, regardless of when the art was created, b/c the public imprint of that art will forever be stained by COVID (if that makes sense) [2/2]",0,1,0,1244404295040143360,https://twitter.com/erikselz/status/1244404295040143360,16944358,2020-03-29 23:21:18+00:00,Sun Mar 29 23:21:18 +0000 2020,,,,,chicago
jezuniga,,"100,000-200,000 deaths in the US due to #COVID19 could’ve been avoided, and is unacceptable.",0,2,0,1244403553659215872,https://twitter.com/jezuniga/status/1244403553659215872,38434457,2020-03-29 23:18:21+00:00,Sun Mar 29 23:18:21 +0000 2020,#COVID19,,,,chicago
QuoteMeBitch,,"If I’m gonna be locked up another 32 days, I’m gonna need someone to tell me what happened to Carole Baskin’s husband #TigerKing #Trump #Quarantine #Covid_19",0,1,0,1244402075712323586,https://twitter.com/QuoteMeBitch/status/1244402075712323586,153501282,2020-03-29 23:12:29+00:00,Sun Mar 29 23:12:29 +0000 2020,#TigerKing #Trump #Quarantine #Covid_19,,,,chicago
FlourishPac,,Tuned into @RepJeffries via @TheRevAl #SheWillFlourish http://nationalactionnetwork.net. #covid_19 ,0,2,0,1244400968910999553,https://twitter.com/FlourishPac/status/1244400968910999553,1026965613988728832,2020-03-29 23:08:05+00:00,Sun Mar 29 23:08:05 +0000 2020,#SheWillFlourish #covid_19,@RepJeffries @TheRevAl,,http://nationalactionnetwork.net,chicago
dormy26,,Covid self quarantine home survival kit delivered ,0,3,1,1244400809380544512,https://twitter.com/dormy26/status/1244400809380544512,561712463,2020-03-29 23:07:27+00:00,Sun Mar 29 23:07:27 +0000 2020,,,,,chicago
monicatea2,,My younger sister works here. She’s lucky. This should happen at every large-scale retail company. #WorkersFirst #COVID19 ,1,9,0,1244400164615356416,https://twitter.com/monicatea2/status/1244400164615356416,344824686,2020-03-29 23:04:53+00:00,Sun Mar 29 23:04:53 +0000 2020,#WorkersFirst #COVID19,,,https://thehill.com/blogs/blog-briefing-room/news/490079-columbia-sportswear-employees-to-receive-regular-pay-as-ceo,chicago
KeithHarris312,,The Nursing Team on the #COVID19 Unit on the 16th floor here @NorthwesternMed have been amazing! ,0,2,0,1244399341873385477,https://twitter.com/KeithHarris312/status/1244399341873385477,155125445,2020-03-29 23:01:37+00:00,Sun Mar 29 23:01:37 +0000 2020,#COVID19,@NorthwesternMed,,,chicago
GeraldFarinas,,"If we want to whip coronavirus right and fast, the definition of “essential businesses” that remain open during shelter-in-place needs to be much more restricted #covid19 #twill",0,0,0,1244399050155266049,https://twitter.com/GeraldFarinas/status/1244399050155266049,19560898,2020-03-29 23:00:28+00:00,Sun Mar 29 23:00:28 +0000 2020,#covid19 #twill,,,,chicago
Only1RealCarmen,,Today’s #Covid_19 #PressBriefing with .@realDonaldTrump should be enough. Almost everything prior should be enough. But nothing matters anymore except money and ratings. So we get what we watch and pay for. It’s us. We are the problem. So it’s up to us to fix it. #vote,0,2,1,1244398801797906435,https://twitter.com/Only1RealCarmen/status/1244398801797906435,25545254,2020-03-29 22:59:28+00:00,Sun Mar 29 22:59:28 +0000 2020,#Covid_19 #PressBriefing #vote,@realDonaldTrump,,,chicago
KeithHarris312,,Day 5 in isolation in the hospital. My #COVID19 came back indeterminate &amp; they going to run it again to try to get a result. – at Northwestern Memorial Hospital,0,3,1,1244398771942940674,https://twitter.com/KeithHarris312/status/1244398771942940674,155125445,2020-03-29 22:59:21+00:00,Sun Mar 29 22:59:21 +0000 2020,#COVID19,,,,chicago
TheFFInformer,,Wow! The President is taking taking his bullshit to another level today! #CoronaUpdate #coronavirus #COVID19 #TrumpVirus2020,0,0,0,1244398052376547343,https://twitter.com/TheFFInformer/status/1244398052376547343,27169672,2020-03-29 22:56:30+00:00,Sun Mar 29 22:56:30 +0000 2020,#CoronaUpdate #coronavirus #COVID19 #TrumpVirus2020,,,,chicago
stigmarelius,,Tornadoes are more merciful than covid 19,0,0,0,1244397883819986944,https://twitter.com/stigmarelius/status/1244397883819986944,24784794,2020-03-29 22:55:49+00:00,Sun Mar 29 22:55:49 +0000 2020,,,,,chicago
TouTightDaGod,,#beforecovid19 #covid19 #laundry @160 Spin Cycle https://www.instagram.com/p/B-VcIwzjVW5/?igshid=oypd0bjsy181,0,0,0,1244397087497818116,https://twitter.com/TouTightDaGod/status/1244397087497818116,359745143,2020-03-29 22:52:40+00:00,Sun Mar 29 22:52:40 +0000 2020,#beforecovid19 #covid19 #laundry,,,https://www.instagram.com/p/B-VcIwzjVW5/?igshid=oypd0bjsy181,chicago
spicymood,,Por dónde yo vivo se habla de qué por ahí por agosto va a ser el punto máximo de casos de COVID-19... https://patch.com/illinois/chicago/best-case-scenario-august-peak-virus-cook-county AGOSTO...,0,0,0,1244395961973161985,https://twitter.com/spicymood/status/1244395961973161985,2658345008,2020-03-29 22:48:11+00:00,Sun Mar 29 22:48:11 +0000 2020,,,,https://patch.com/illinois/chicago/best-case-scenario-august-peak-virus-cook-county,chicago
