username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city
cht_thc,hersheybleau,Are the Canadians bringing covid into Washington?,0,0,0,1244399562883817472,https://twitter.com/cht_thc/status/1244399562883817472,306611972,2020-03-29 23:02:30+00:00,Sun Mar 29 23:02:30 +0000 2020,,,,,springfield
JLivelyPaleo,,Not Joe Diffie... #RIP #COVID19 #coronavirus,0,2,2,1244364016992112644,https://twitter.com/JLivelyPaleo/status/1244364016992112644,2759000281,2020-03-29 20:41:15+00:00,Sun Mar 29 20:41:15 +0000 2020,#RIP #COVID19 #coronavirus,,,https://youtu.be/vMiEFyTuuh8,springfield
RebeccaAnzel,,"NEW: @IDPH released today’s #COVID19 numbers. Illinois has 1,105 new confurmed cases, and 18 additional deaths. Total state numbers are 4,596 cases and 65 deaths in 47 counties twill ",1,0,0,1244349176659443713,https://twitter.com/RebeccaAnzel/status/1244349176659443713,803260735,2020-03-29 19:42:17+00:00,Sun Mar 29 19:42:17 +0000 2020,#COVID19,@IDPH,,,springfield
Hermano_Bart,,Irene Montero es la Leticia Sabater del Gobierno... #Covid_19 #QuedateEnCasa #GobiernoDimision #GobiernoCriminal,0,1,0,1244036789062557697,https://twitter.com/Hermano_Bart/status/1244036789062557697,338525189,2020-03-28 23:00:58+00:00,Sat Mar 28 23:00:58 +0000 2020,#Covid_19 #QuedateEnCasa #QuedateEnCasa #GobiernoDimision #GobiernoCriminal,,,,springfield
jasonpiscia,,"News reporters are working long and hard to cover the COVID-19 crisis. Please support this work with a subscription to a newspaper (or two!). I proudly subscribe to @SJRbreaking, @chicagotribune, @Suntimes and @washingtonpost. #supportjournalism #supportlocalnews",0,12,0,1243999862686875651,https://twitter.com/jasonpiscia/status/1243999862686875651,11812642,2020-03-28 20:34:14+00:00,Sat Mar 28 20:34:14 +0000 2020,#supportjournalism #supportlocalnews,@SJRbreaking @chicagotribune @Suntimes @washingtonpost,,,springfield
JustinCarterTV,wics_abc20,"Overnight in Illinois, an infant baby and a DHS employee have died due to COVID-19. ",0,1,1,1243989028183199745,https://twitter.com/JustinCarterTV/status/1243989028183199745,165809788,2020-03-28 19:51:11+00:00,Sat Mar 28 19:51:11 +0000 2020,,,,https://twitter.com/wics_abc20/status/1243988695633592320,springfield
GabAFranklin,WCIA3,The 47 deaths includes the death of an infant younger than one. This is the first known death of an infant from #COVID19 ,2,2,0,1243988470529437697,https://twitter.com/GabAFranklin/status/1243988470529437697,153847430,2020-03-28 19:48:58+00:00,Sat Mar 28 19:48:58 +0000 2020,#COVID19,,,https://twitter.com/WCIA3/status/1243986388330086401,springfield
angelichelena,,Covid sorry,0,0,0,1243971310671343618,https://twitter.com/angelichelena/status/1243971310671343618,72296873,2020-03-28 18:40:46+00:00,Sat Mar 28 18:40:46 +0000 2020,,,,,springfield
AbhiKulk82,CMichaelGibson,Praying for all our colleagues on the front lines of #COVID19 and their families. They are risking their lives. I hope we can get them the help and support they need. ,1,11,0,1243970437148823553,https://twitter.com/AbhiKulk82/status/1243970437148823553,1050194250745430022,2020-03-28 18:37:18+00:00,Sat Mar 28 18:37:18 +0000 2020,#COVID19,,,https://twitter.com/CMichaelGibson/status/1243969244288745473,springfield
MattRoy_TV,,"Looks like besides the tornado of COVID-19 coverage @wics_abc20 has brought you in recent weeks, we will also be bringing you ACTUAL tornado coverage as a severe weather warning has been issued in many parts of IL",0,2,0,1243946245166714880,https://twitter.com/MattRoy_TV/status/1243946245166714880,229771903,2020-03-28 17:01:10+00:00,Sat Mar 28 17:01:10 +0000 2020,,@wics_abc20,,,springfield
RepTimButler,,"Yet another concern with #COVID19 fallout, the potential impact on our county fairs and the State Fairgrounds. ",1,0,0,1243886451378585607,https://twitter.com/RepTimButler/status/1243886451378585607,3064982339,2020-03-28 13:03:34+00:00,Sat Mar 28 13:03:34 +0000 2020,#COVID19,,,https://www.sj-r.com/news/20200327/county-fairs-hurt-financially-by-covid-19-shutdowns,springfield
1yudhishthir,,Don't be surprise if China comes up with the cure of #Covid_19 #ChineseVirus,0,0,0,1243832340280823809,https://twitter.com/1yudhishthir/status/1243832340280823809,2271854977,2020-03-28 09:28:33+00:00,Sat Mar 28 09:28:33 +0000 2020,#Covid_19 #ChineseVirus,,,,springfield
APOConnor,,"There is no longer any question in their minds: “If that guy is letting us on the bed, this must certainly be an extraordinary time.” #FridayswithCOVID #shadrachthedog #gingertheredd #COVID19 #StayHome #WashYourHands",1,7,0,1243720941030576129,https://twitter.com/APOConnor/status/1243720941030576129,37018002,2020-03-28 02:05:54+00:00,Sat Mar 28 02:05:54 +0000 2020,#FridayswithCOVID #shadrachthedog #gingertheredd #COVID19 #StayHome #StayHome #WashYourHands #WashYourHands,,,,springfield
noodlechecker,tribelaw,If someone dies of flu-like symptoms but they were not tested for Covid-19 are they counting them as covid19 deaths. Does less testing mean less confirmation which makes the total #of deaths look less than other countries that did more testing. Could this be true? . @cnn @maddow,0,1,0,1243644656912674821,https://twitter.com/noodlechecker/status/1243644656912674821,133803751,2020-03-27 21:02:46+00:00,Fri Mar 27 21:02:46 +0000 2020,,@CNN @maddow,,,springfield
mikethomas3105,,"#essentialemployee #essentialbusiness #hiring #workforcemanagement #heretohelp #springfieldil #springfieldillinois #covid_19 @Springfield, Illinois https://www.instagram.com/p/B-POPSvgU1T/?igshid=11thqfacclrj3",0,0,0,1243522098187972610,https://twitter.com/mikethomas3105/status/1243522098187972610,3246382035,2020-03-27 12:55:46+00:00,Fri Mar 27 12:55:46 +0000 2020,#essentialemployee #essentialbusiness #hiring #workforcemanagement #heretohelp #springfieldil #springfieldillinois #covid_19,,,https://www.instagram.com/p/B-POPSvgU1T/?igshid=11thqfacclrj3,springfield
