username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city,query,date_range
spoonzoo,heatherkestila,This parade of teachers driving through their kids' neighborhoods... it's what you need to watch today. #SaturdayMotivation #QuaratineLife #SocialDistancing #covid19 #teachersareheroes #elearning @Robertson_Elem @heatherkestila #Deacon,0,2,1,1241510904291823619,https://twitter.com/spoonzoo/status/1241510904291823619,16911094,2020-03-21 23:44:00+00:00,Sat Mar 21 23:44:00 +0000 2020,#SaturdayMotivation #QuaratineLife #SocialDistancing #covid19 #teachersareheroes #elearning #Deacon,@Robertson_Elem @heatherkestila,,https://twitter.com/heatherkestila/status/1241077860829462530,springfield,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
angelichelena,,Rep. Mark Green Praises Trump's Response To Coronavirus https://youtu.be/2POHJtLVAi0 via @YouTube. @CNN @MSNBC,0,1,0,1241496793445253124,https://twitter.com/angelichelena/status/1241496793445253124,72296873,2020-03-21 22:47:56+00:00,Sat Mar 21 22:47:56 +0000 2020,,@YouTube @CNN @MSNBC,,https://youtu.be/2POHJtLVAi0,springfield,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
noodlechecker,,"There should be a federally funded nationwide “stay at home” quarantine. Then the the #army can transfer equipment (ppe and ventilators) to the areas most in need with the hope that the entire country won’t be infected, at least not at the same time. @cnn @maddow #CoronaVirus",0,1,0,1241469405344739341,https://twitter.com/noodlechecker/status/1241469405344739341,133803751,2020-03-21 20:59:06+00:00,Sat Mar 21 20:59:06 +0000 2020,#army #CoronaVirus,@CNN @maddow,,,springfield,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
GrandeReed,,"#home #covid #quarantine #dog #kid #family #flattenthecurve @Springfield, Illinois https://www.instagram.com/p/B-AgnOJlKKR/?igshid=at2jhyoyidx",0,0,0,1241451438187991043,https://twitter.com/GrandeReed/status/1241451438187991043,22547481,2020-03-21 19:47:42+00:00,Sat Mar 21 19:47:42 +0000 2020,#home #covid #quarantine #dog #kid #family #flattenthecurve,,,https://www.instagram.com/p/B-AgnOJlKKR/?igshid=at2jhyoyidx,springfield,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
SenStadelman,,The goal of a stay at home order is to keep people from being exposed to other people who may already be carrying coronavirus and flatten the curve of infection. @GovPritzker’s stay at home order takes effect today at 5:00 pm until April 7.,0,1,0,1241429653186850823,https://twitter.com/SenStadelman/status/1241429653186850823,1189262416519012352,2020-03-21 18:21:08+00:00,Sat Mar 21 18:21:08 +0000 2020,,@GovPritzker,,,springfield,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
EricHansen,,"Zoe is staying home too. #corona @Springfield, Illinois https://www.instagram.com/p/B-AP9e0AleV/?igshid=323jhs4lldd9",0,0,0,1241414819355463681,https://twitter.com/EricHansen/status/1241414819355463681,15173738,2020-03-21 17:22:11+00:00,Sat Mar 21 17:22:11 +0000 2020,#corona,,,https://www.instagram.com/p/B-AP9e0AleV/?igshid=323jhs4lldd9,springfield,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
spoonzoo,,"#CaptainCorona just said 'ONLY 19,000 people have the #coronavirus.' @VP ARE YOU FUCKING KIDDING ME? ""ONLY???"" WHAT IS WRONG WITH THESE PEOPLE? DR. FAUCI, PLEASE BE A VOICE OF REASON. STFU PENCE! Millions of masks? Ordering from where? #NoTestsNoMasks CRIMINAL. You're killing.",0,1,1,1241414694415618050,https://twitter.com/spoonzoo/status/1241414694415618050,16911094,2020-03-21 17:21:42+00:00,Sat Mar 21 17:21:42 +0000 2020,#CaptainCorona #coronavirus #NoTestsNoMasks,@VP,,,springfield,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
BSchuermanWX,thehill,#DEVELOPING: Andy Cohen tests positive for the #Coronavirus #COVID19... ,1,0,0,1241402307893440512,https://twitter.com/BSchuermanWX/status/1241402307893440512,18501529,2020-03-21 16:32:28+00:00,Sat Mar 21 16:32:28 +0000 2020,#DEVELOPING #Coronavirus #COVID19,,,https://twitter.com/thehill/status/1241304807865892865,springfield,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
GrandeReed,,"Well this is disappointing #covid #shutitdown #grocery @Springfield, Illinois https://www.instagram.com/p/B-AH5obFPYW/?igshid=15cmtbqwnjuqu",0,0,0,1241397098022678531,https://twitter.com/GrandeReed/status/1241397098022678531,22547481,2020-03-21 16:11:46+00:00,Sat Mar 21 16:11:46 +0000 2020,#covid #shutitdown #grocery,,,https://www.instagram.com/p/B-AH5obFPYW/?igshid=15cmtbqwnjuqu,springfield,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
gdmckav,,Thanks @CBSSports @CBS for replaying classic @NCAA @marchmadness games while under #Covid_19 shelter-in-place in #Illinois,0,1,0,1241395741643415552,https://twitter.com/gdmckav/status/1241395741643415552,50190934,2020-03-21 16:06:23+00:00,Sat Mar 21 16:06:23 +0000 2020,#Covid_19 #Illinois,@CBSSports @CBS @NCAA @marchmadness,,,springfield,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
