region,event,date,links
WORLD,"Officials, in Wuhan, China, confirmed that health authorities were treating dozens of cases they later identified as a new virus that had infected dozens of people. There was no evidence, at the time, that the virus was readily spread by humans. Chinese health officials continued to monitor it to prevent the outbreak from developing into something more severe.",12/31/2019,
WORLD,"The number of cases of the new type of viral pneumonia rises to 44 in an outbreak that awakens fearful memories of the 2002-03 SARS epidemic. Most of the cases are traced to a live-seafood market in the suburbs of sprawling Wuhan, where offerings are reported to include wild animals.",1/3/2020,
WORLD,Chinese state media reports that a preliminary investigation of the Wuhan outbreak has identified a new type of coronavirus. Local authorities report 59 people with the illness.,1/9/2020,
WORLD,Health authorities in Wuhan report the country's first death from the new coronavirus.,1/11/2020,
WORLD,"The head of a Chinese government team says human-to-human transmission has been confirmed in an outbreak of the coronavirus, a development that raises the possibility that it could spread more quickly and widely.",1/20/2020,
WORLD,Chinese state media reports that the city of Wuhan has shut down outbound flights and trains as the new virus keeps spreading.,1/22/2020,
ILLINOIS,"A Chicago woman in her 60s, who in late December had traveled to Wuhan, China, to care for her elderly father, is the second confirmed case of coronavirus in the United States, and the first in Illinois. She returned to Chicago on Jan. 13 and, nationally, her diagnosis was second only to the Washington state man in his 30s who had traveled to the same region of China.",1/24/2020,https://www.chicagotribune.com/news/breaking/ct-coronavirus-china-epidemic-illinois-case-20200124-yx2xd3yeovar3o25ei6bfvvbze-story.html
WORLD,"China is reporting more that 1,280 cases and a total of 41 deaths.",1/24/2020,https://www.chicagotribune.com/news/breaking/ct-coronavirus-china-epidemic-illinois-case-20200124-yx2xd3yeovar3o25ei6bfvvbze-story.html
U.S.,"U.S. health officials expand screenings of international travelers and take other precautions. But they insist the risk to Americans is low. ""At this point, Americans should not worry for their own safety,"" Health and Human Services Secretary Alex Azar tells reporters.",1/28/2020,https://www.chicagotribune.com/nation-world/ct-nw-airport-screenings-coronavirus-20200128-l6z35qupbfh25mobtolk6itggu-story.html
ILLINOIS,"A Chicago woman transmits the virus to her husband, marking the first person-to-person transmission reported in the United States. The director of the CDC, Robert Redfield, called that ""concerning,"" but said, ""the immediate risk to the American public is low.""",1/30/2020,https://www.chicagotribune.com/business/ct-biz-illinois-spread-person-to-person-coronavirus-20200130-yqbxfhqotvagdmvc5ibgvvwugy-story.html
WORLD,"After the number of cases increases more than tenfold in a week, the World Health Organization, for the sixth time in history, declares a ""public health emergency of international concern,"" its category used only for the most extraordinary events threatening to become global issues.",1/30/2020,
