,Coefficients
Overall Cond,5710.473978940327
Mas Vnr Area,3636.9748978606594
BsmtFin SF 1,9625.931956548467
BsmtFin SF 2,937.5847572678821
Bsmt Unf SF,-0.0
Total Bsmt SF,8785.617196990977
Low Qual Fin SF,-865.2791249268749
Fireplaces,920.7756488654883
Wood Deck SF,2038.4581441079947
Enclosed Porch,585.4948088946585
Screen Porch,2998.921798569795
MS Zoning_FV,6132.73545671362
MS Zoning_RH,1861.0542135029061
MS Zoning_RL,8620.352915780531
MS Zoning_RM,6815.901155289128
MS SubClass_45,895.7829394107371
MS SubClass_90,-2110.5165395064337
MS SubClass_120,-1137.3964204900421
MS SubClass_160,-2032.5771463915685
Exterior 1st_BrkComm,-234.6607622188884
Exterior 1st_BrkFace,2327.6921255562615
Exterior 2nd_Wd Sdng,1246.4881990201493
Exterior 2nd_Wd Shng,737.420548986771
Heating_Grav,-14.129931603511718
Neighborhood_BrkSide,-1049.2808142894282
Neighborhood_ClearCr,-776.779289774361
Neighborhood_CollgCr,-4896.861716365711
Neighborhood_Edwards,-6163.593304057022
Neighborhood_Gilbert,-3938.8690050071255
Neighborhood_IDOTRR,-2540.0601229487384
Neighborhood_MeadowV,-1863.2608619387447
Neighborhood_Mitchel,-4128.7257310413415
Neighborhood_NAmes,-7983.652032470124
Neighborhood_NWAmes,-5484.289855710614
Neighborhood_NoRidge,-537.0289833950103
Neighborhood_OldTown,-4770.565357578104
Neighborhood_SWISU,-1791.5595661367956
Neighborhood_Sawyer,-4918.589017804389
Neighborhood_SawyerW,-4257.348958883099
Neighborhood_Somerst,-1690.7039613927348
Neighborhood_Timber,-2360.857602905333
Lot Config_CulDSac,996.893744050236
Lot Config_FR3,-488.6869707391349
Roof Matl_WdShngl,965.7077110944913
Land Contour_HLS,2661.697829885106
Sale Type_CWD,1093.6314451688554
Sale Type_Con,1173.0785009594092
Sale Type_ConLD,957.892410729412
Sale Type_New,5306.652672606119
Sale Type_Oth,439.2926034818261
Sale Type_WD ,2519.5452678025613
Functional_Min1,2331.7013269918084
Functional_Min2,2181.566828287963
Functional_Typ,5281.966279913913
Exter Qual_TA,12658.08914964959
Bsmt Qual_Gd,-6108.6987798124665
Bsmt Qual_TA,-5462.460330870777
Condition 1_Norm,2546.112491799014
Condition 1_PosA,1509.5838415007502
Condition 1_PosN,1554.8430717354981
Condition 2_Norm,1665.0127932259586
Heating QC_TA,-1935.2511859402443
Kitchen Qual_Fa,-4205.763638732245
Kitchen Qual_Gd,-8824.85013123777
Kitchen Qual_TA,-10208.147746040197
Fireplace Qu_NA,5433.676622699602
Garage Qual_Gd,1752.7063056818847
Half Bath_1,497.4923335396965
Kitchen AbvGr_3,-420.0496893460011
age_of_home,-13271.783256792469
years_since_remodel,-3761.4817095601384
log_lot_area,7653.858921670051
Overall Qual x Gr Liv Area,40602.224868041936
Overall Qual x Exter Qual_Gd,-7305.233684117573
Overall Qual x Exter Qual_TA,-18019.56910624623
Overall Qual x Full Bath_2,-2527.474736457502
Overall Qual x Fireplace Qu_NA,-5681.1645701132575
Overall Qual x Garage Cars,2839.022781631739
Overall Qual x Garage Area,3104.3851583314836
