,0
MS SubClass,-5716.113132029588
Lot Frontage,737.6218406226097
Overall Cond,5252.728828646701
Mas Vnr Area,3392.9929409552146
BsmtFin SF 1,7524.2646816074675
BsmtFin SF 2,1467.5573159082915
Bsmt Unf SF,-853.9312383407722
Total Bsmt SF,7493.8300376881
Low Qual Fin SF,-528.8223672784209
Bsmt Full Bath,1353.092300838382
Half Bath,671.5607380725985
Kitchen AbvGr,-329.23992196063847
TotRms AbvGrd,1955.907046272175
Fireplaces,1285.8900103283513
Garage Cars,-4693.920629684819
Wood Deck SF,1924.603844188972
Open Porch SF,353.4682806189906
Enclosed Porch,293.588181084163
Screen Porch,3429.8200598497197
Pool Area,1229.5200382456965
MS Zoning_FV,4451.422832946498
MS Zoning_I (all),0.0
MS Zoning_RH,1516.8485687083155
MS Zoning_RL,5089.170523033057
MS Zoning_RM,5099.797054684699
MS SubClass_40,270.17449859128504
MS SubClass_45,1062.497773809232
MS SubClass_50,2019.1020684388218
MS SubClass_70,1258.6180796412486
MS SubClass_75,1758.6883664104716
MS SubClass_85,1272.0863774988434
MS SubClass_90,189.35399377046127
MS SubClass_120,1637.542132785422
MS SubClass_160,367.6251518032421
MS SubClass_180,948.2600072470295
MS SubClass_190,2159.799133957938
Foundation_CBlock,-705.9861072829207
Foundation_Wood,273.63442980988196
BsmtFin Type 1_LwQ,-1319.9720614571809
BsmtFin Type 1_NA,588.7787372320386
BsmtFin Type 1_Rec,-1287.3355310048069
BsmtFin Type 2_BLQ,-1337.365481971477
BsmtFin Type 2_GLQ,705.7783972295643
BsmtFin Type 2_LwQ,-1791.374052089772
BsmtFin Type 2_NA,-3380.4426499257747
BsmtFin Type 2_Rec,-1547.6835736977537
BsmtFin Type 2_Unf,-1299.5183393978045
Exterior 1st_BrkComm,-640.319501297147
Exterior 1st_BrkFace,3312.6480403256865
Exterior 1st_HdBoard,-1512.1921928890051
Exterior 1st_VinylSd,-1741.434983245544
Exterior 1st_Wd Sdng,-2873.7449292001406
Exterior 1st_WdShing,-551.6663411201736
Exterior 2nd_AsphShn,637.6496590101517
Exterior 2nd_Brk Cmn,2033.2681991708841
Exterior 2nd_BrkFace,-1234.1551141557152
Exterior 2nd_CmentBd,1330.9873883301443
Exterior 2nd_HdBoard,2777.8454499025597
Exterior 2nd_MetalSd,2980.817196091032
Exterior 2nd_Plywood,1740.7992168844492
Exterior 2nd_Stucco,1340.1979085617513
Exterior 2nd_VinylSd,644.2077133752078
Exterior 2nd_Wd Sdng,5150.962282936282
Exterior 2nd_Wd Shng,2009.4866326828565
Heating_GasW,-893.9880457956007
Heating_Grav,-215.5274388283055
Street_Pave,815.7779131507983
Neighborhood_BrDale,-514.9799122671868
Neighborhood_BrkSide,-1485.123215442687
Neighborhood_ClearCr,13.929157825427856
Neighborhood_CollgCr,-4243.92239501935
Neighborhood_Crawfor,-417.4194848882449
Neighborhood_Edwards,-5507.276533044467
Neighborhood_Gilbert,-3218.60116302053
Neighborhood_Greens,726.1720724857217
Neighborhood_IDOTRR,-3682.545042480562
Neighborhood_MeadowV,-1885.6108656078136
Neighborhood_Mitchel,-3471.45917377333
Neighborhood_NAmes,-5879.761821372643
Neighborhood_NWAmes,-4003.6193232391943
Neighborhood_NridgHt,-281.3111350790673
Neighborhood_OldTown,-5665.822008819913
Neighborhood_SWISU,-1667.9686693364408
Neighborhood_Sawyer,-3223.306461783675
