,Coefficients
MS SubClass,-1273.7613669896793
Lot Frontage,755.328227881939
Lot Area,1565.417200588245
Overall Qual,-2409.6928545840806
Overall Cond,5536.138365072804
Mas Vnr Area,3444.936367524451
BsmtFin SF 1,8927.151188476813
BsmtFin SF 2,1027.7833481432692
Bsmt Unf SF,-0.0
Total Bsmt SF,6501.10632616127
Low Qual Fin SF,-239.9150585991165
Bsmt Full Bath,1076.909400776041
Bsmt Half Bath,-0.0
Full Bath,204.21768716424623
Half Bath,0.0
Bedroom AbvGr,-0.0
Kitchen AbvGr,-679.3199100288753
TotRms AbvGrd,0.0
Fireplaces,293.7235247973129
Garage Cars,0.0
Wood Deck SF,1694.7705551150389
Open Porch SF,0.0
Enclosed Porch,0.0
3Ssn Porch,0.0
Screen Porch,2993.1939940669117
Pool Area,-0.0
Misc Val,0.0
Mo Sold,-0.0
Yr Sold,-33.22835620879041
MS Zoning_FV,1144.1051622824675
MS Zoning_I (all),0.0
MS Zoning_RH,349.5565857896617
MS Zoning_RL,0.0
MS Zoning_RM,-0.0
MS SubClass_30,-0.0
MS SubClass_40,0.0
MS SubClass_45,472.9063901018626
MS SubClass_50,379.9100968435023
MS SubClass_60,0.0
MS SubClass_70,381.7666188860093
MS SubClass_75,0.0
MS SubClass_80,-0.0
MS SubClass_85,580.9968223086064
MS SubClass_90,-761.7561278588462
MS SubClass_120,-474.3208155943167
MS SubClass_160,-782.5131737074485
MS SubClass_180,125.07546538671458
MS SubClass_190,-0.0
Foundation_CBlock,-0.0
Foundation_PConc,0.0
Foundation_Slab,-0.0
Foundation_Stone,202.42604558292783
Foundation_Wood,85.25326038581352
BsmtFin Type 1_BLQ,-567.5239669034097
BsmtFin Type 1_GLQ,0.0
BsmtFin Type 1_LwQ,-810.8716135515645
BsmtFin Type 1_NA,-0.0
BsmtFin Type 1_Rec,-964.4088870279443
BsmtFin Type 1_Unf,180.94782032994976
BsmtFin Type 2_BLQ,-173.21178311200325
BsmtFin Type 2_GLQ,1149.3020679462993
BsmtFin Type 2_LwQ,-519.6116315127222
BsmtFin Type 2_NA,-0.0
BsmtFin Type 2_Rec,-304.0100002055388
BsmtFin Type 2_Unf,0.0
Exterior 1st_AsphShn,0.0
Exterior 1st_BrkComm,-213.01885527512556
Exterior 1st_BrkFace,3299.8812213756446
Exterior 1st_CemntBd,0.0
Exterior 1st_HdBoard,-509.43316905231916
Exterior 1st_MetalSd,296.19268957490175
Exterior 1st_Plywood,0.0
Exterior 1st_Stucco,0.0
Exterior 1st_VinylSd,0.0
Exterior 1st_Wd Sdng,-414.01786329885675
Exterior 1st_WdShing,-0.0
Exterior 2nd_AsphShn,73.68878149473746
Exterior 2nd_Brk Cmn,0.0
Exterior 2nd_BrkFace,-1650.548166734354
Exterior 2nd_CBlock,0.0
Exterior 2nd_CmentBd,0.0
Exterior 2nd_HdBoard,-11.147083016752656
Exterior 2nd_ImStucc,-585.2474571995938
Exterior 2nd_MetalSd,0.0
Exterior 2nd_Plywood,-301.44533017541215
Exterior 2nd_Stucco,375.8253343224595
Exterior 2nd_VinylSd,0.0
Exterior 2nd_Wd Sdng,889.9589113308007
Exterior 2nd_Wd Shng,270.87984169063645
Heating_GasW,-0.0
Heating_Grav,-0.0
Street_Pave,744.5752233702775
Neighborhood_Blueste,422.7894786565165
Neighborhood_BrDale,241.31720099816755
Neighborhood_BrkSide,1023.7737616697206
Neighborhood_ClearCr,1144.6693066528107
Neighborhood_CollgCr,-241.15135261301882
Neighborhood_Crawfor,1321.533891739682
Neighborhood_Edwards,-2203.593018811747
Neighborhood_Gilbert,-327.1291364777609
Neighborhood_Greens,540.6532756258534
Neighborhood_IDOTRR,-1086.6180907479536
Neighborhood_MeadowV,-150.80920232088647
Neighborhood_Mitchel,-535.1953942986949
Neighborhood_NAmes,-1207.8066369180274
Neighborhood_NPkVill,1217.7342529236878
Neighborhood_NWAmes,-1900.294938719067
Neighborhood_NoRidge,0.0
Neighborhood_NridgHt,0.0
Neighborhood_OldTown,-1093.1399565732597
Neighborhood_SWISU,-0.0
Neighborhood_Sawyer,0.0
Neighborhood_SawyerW,-729.2839013687969
Neighborhood_Somerst,1275.7886570354312
Neighborhood_StoneBr,3494.809847221909
Neighborhood_Timber,0.0
Neighborhood_Veenker,669.4903240313064
Garage Finish_NA,0.0
Garage Finish_RFn,-7.59624812508018
Garage Finish_Unf,-0.0
Lot Config_CulDSac,878.0701313268027
Lot Config_FR2,-0.0
Lot Config_FR3,-136.39736691713438
