,Coefficients
Overall Cond,5328.85664633115
Mas Vnr Area,19.13101504256356
BsmtFin SF 1,21.70043715612033
BsmtFin SF 2,8.098755598262969
Total Bsmt SF,19.312077998749075
Low Qual Fin SF,-15.731424641939668
Fireplaces,3154.9267609315384
Wood Deck SF,11.533356793815457
Enclosed Porch,19.024139295407593
Screen Porch,50.16058392067009
MS Zoning_FV,21729.193825545957
MS Zoning_RH,15468.610445634617
MS Zoning_RL,15697.453139948302
MS Zoning_RM,14196.74759626193
MS SubClass_45,11674.409794999001
MS SubClass_90,-12909.516298854942
MS SubClass_120,-6257.277713623861
MS SubClass_160,-9638.30500987725
Exterior 1st_BrkComm,-18046.570511761336
Exterior 1st_BrkFace,14605.069665854997
Exterior 2nd_Wd Sdng,2753.3504707977763
Exterior 2nd_Wd Shng,2564.690893333803
Heating_Grav,-15340.899235913255
Neighborhood_BrkSide,-6395.55881000993
Neighborhood_ClearCr,-7356.187426214477
Neighborhood_CollgCr,-18537.779412493474
Neighborhood_Edwards,-21611.56980772263
Neighborhood_Gilbert,-16157.141494397752
Neighborhood_IDOTRR,-15306.243003632391
Neighborhood_MeadowV,-14115.25083386178
Neighborhood_Mitchel,-21034.236066963418
Neighborhood_NAmes,-22477.006366899765
Neighborhood_NWAmes,-27373.482956355394
Neighborhood_NoRidge,-8593.489045837667
Neighborhood_OldTown,-18293.665203912347
Neighborhood_SWISU,-13120.590688776303
Neighborhood_Sawyer,-21119.85048433992
Neighborhood_SawyerW,-20587.61041488925
Neighborhood_Somerst,-7728.987600444187
Neighborhood_Timber,-17496.654898845598
Lot Config_CulDSac,4870.048540420136
Lot Config_FR3,-14341.970171830782
Roof Matl_WdShngl,22236.85640000931
Land Contour_HLS,12069.221848468715
Sale Type_CWD,17382.380268611305
Sale Type_Con,34004.859420596265
Sale Type_ConLD,11208.44858364689
Sale Type_New,20169.97015022827
Sale Type_Oth,19179.087031821702
Sale Type_WD ,7741.956000314158
Functional_Min1,13322.290290885801
Functional_Min2,12157.599930549568
Functional_Typ,20965.72511347862
Exter Qual_TA,27913.878320732143
Bsmt Qual_Gd,-11528.716925223242
Bsmt Qual_TA,-10165.803397993286
Condition 1_Norm,7781.554867743813
Condition 1_PosA,23865.693725547608
Condition 1_PosN,14207.24334390647
Condition 2_Norm,9860.897376050087
Heating QC_TA,-3745.234739501097
Kitchen Qual_Fa,-20972.51024422161
Kitchen Qual_Gd,-16072.641694271697
Kitchen Qual_TA,-17353.524490854827
Fireplace Qu_NA,10477.075680934267
Garage Qual_Gd,15540.9857444073
Half Bath_1,-38.951049796390514
Kitchen AbvGr_3,-17519.2287437203
age_of_home,-440.0733194161171
years_since_remodel,-174.42431352733433
log_lot_area,15733.986322455885
Overall Qual x Gr Liv Area,8.485263889411158
Overall Qual x Exter Qual_Gd,-2192.6076564711825
Overall Qual x Exter Qual_TA,-7261.785051168196
Overall Qual x Full Bath_2,-699.5299419906378
Overall Qual x Fireplace Qu_NA,-1561.151402539622
Overall Qual x Garage Cars,570.0211897214413
Overall Qual x Garage Area,2.1383670923487443
