,Coefficients
Overall Cond,5476.935454341372
Mas Vnr Area,3752.33060903444
BsmtFin SF 1,9129.822491346524
BsmtFin SF 2,794.3875416877404
Bsmt Unf SF,-444.57012599910104
Total Bsmt SF,9364.928447377939
Low Qual Fin SF,-777.7917091113371
Fireplaces,775.3458350509559
Wood Deck SF,2131.418477289752
Enclosed Porch,548.3849761900083
Screen Porch,3038.7373185649326
MS Zoning_FV,5109.669527541402
MS Zoning_RH,1509.4924300526973
MS Zoning_RL,6821.2776140334845
MS Zoning_RM,5361.955135719009
MS SubClass_45,853.6041726616351
MS SubClass_90,-1945.647561149063
MS SubClass_120,-1208.1751645458266
MS SubClass_160,-2058.670684986488
Exterior 1st_BrkComm,-239.25377495945125
Exterior 1st_BrkFace,2358.015811100206
Exterior 2nd_Wd Sdng,1174.791564146311
Exterior 2nd_Wd Shng,668.9891183188956
Heating_Grav,4.340970495956015
Neighborhood_BrkSide,-1050.6367639186149
Neighborhood_ClearCr,-762.7379416883814
Neighborhood_CollgCr,-4792.781551542545
Neighborhood_Edwards,-5926.283848646038
Neighborhood_Gilbert,-3905.132405033502
Neighborhood_IDOTRR,-2679.687727712208
Neighborhood_MeadowV,-1673.347451597724
Neighborhood_Mitchel,-4022.8260829821284
Neighborhood_NAmes,-7727.68609568897
Neighborhood_NWAmes,-5425.356690170888
Neighborhood_NoRidge,-322.12988860165314
Neighborhood_OldTown,-4661.811962242951
Neighborhood_SWISU,-1706.5921102603083
Neighborhood_Sawyer,-4735.248724732115
Neighborhood_SawyerW,-4186.725967409844
Neighborhood_Somerst,-1610.9168626639507
Neighborhood_Timber,-2319.8556102738376
Lot Config_CulDSac,1011.1558658556725
Lot Config_FR3,-511.1767064453452
Roof Matl_WdShngl,1012.5989139167018
Land Contour_HLS,2765.032631860789
Sale Type_CWD,1105.2171034561186
Sale Type_Con,1166.273098074848
Sale Type_ConLD,906.256594155025
Sale Type_New,5281.964344075166
Sale Type_Oth,444.154206378076
Sale Type_WD ,2402.924935920423
Functional_Min1,2358.380258754541
Functional_Min2,2216.4496055278323
Functional_Typ,5232.269154515279
Exter Qual_TA,8610.913421450845
Bsmt Qual_Gd,-6329.088089725077
Bsmt Qual_TA,-5672.118397218608
Condition 1_Norm,2553.2826357039594
Condition 1_PosA,1484.3456296322677
Condition 1_PosN,1584.285783470797
Condition 2_Norm,1571.4364800485569
Heating QC_TA,-1970.253815720108
Kitchen Qual_Fa,-4198.122003940508
Kitchen Qual_Gd,-8857.90566768616
Kitchen Qual_TA,-10208.971330367467
Fireplace Qu_NA,5295.865129496299
Garage Qual_Gd,1764.2038490500036
Half Bath_1,801.1267235648571
Kitchen AbvGr_3,-412.2459133512774
age_of_home,-12609.479576167538
years_since_remodel,-3885.5051570785095
log_lot_area,7737.940179526798
Overall Qual x Gr Liv Area,38988.9934157582
Overall Qual x Exter Qual_Gd,-6996.80036786339
Overall Qual x Exter Qual_TA,-14304.776468994558
Overall Qual x Full Bath_2,-2363.4593523140265
Overall Qual x Fireplace Qu_NA,-5823.35704732792
Overall Qual x Garage Cars,2885.5937675452324
Overall Qual x Garage Area,3528.9069470269346
